"","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases"
"Countries, territories and areas"," 2021"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","86 263","105 295","173 860","248 689","313 086","241 233","119 859","106 478","52 965","54 840","77 549","69 798","65 000","81 574","92 202","86 129","116 444","242 022","360 940","414 611","50 850","94 475"
"Algeria","1 164","2 726","1 014","1 242","453","432","747","266","603","887","191","408","94","196","288","117","299","163","427","307","435","541"
"Angola","8 325 921","6 599 327","7 054 978","5 150 575","3 874 892","3 794 253","2 769 305","2 298 979","1 999 868","1 496 834","1 632 282","1 682 870","1 573 422","1 377 992","1 533 485","1 082 398","889 572","","","","",""
"Argentina","","0","0","28","18","9","11","15","11","16","28","121","92","105","328","172","231","116","124","125","215","440"
"Armenia","","3","","6","2","2","2","1","0","4","","1","0","1","1","0","11","88","50","88","127","226"
"Azerbaijan","","0","0","2","1","1","1","2","4","4","8","52","80","73","110","143","242","386","482","506","1 058","1 526"
"Bangladesh","7 294","6 130","17 225","10 523","29 247","27 737","39 719","57 480","26 891","29 518","51 773","55 873","63 873","84 690","59 857","32 857","48 121","58 894","54 654","62 269","54 216","54 223"
"Belize","0","0","2","7","9","5","13","19","26","37","79","150","256","540","845","844","1 549","1 066","1 324","1 134","1 162","1 486"
"Benin","2 876 368","2 516 465","2 895 878","1 975 812","1 933 912","1 610 790","1 721 626","1 309 238","1 090 602","705 839","422 968","","889 597","","","","","","","","",""
"Bhutan","23","54","42","54","51","74","104","48","45","82","194","436","1 057","329","793","1 868","1 825","2 670","3 806","6 511","5 982","5 935"
"Bolivia (Plurinational State of)","9 959","12 187","9 357","5 354","4 587","5 553","6 907","7 401","7 342","7 415","7 143","13 769","9 743","9 748","14 610","18 995","20 142","14 910","20 343","14 276","15 765","31 469"
"Botswana","729","953","272","585","1 909","723","332","1 346","456","193","432","1 046","1 024","927","390","2 548","670","198","591","1 640","3 720","10 510"
"Brazil","163 585","172 401","190 740","244 042","238 517","152 160","169 390","162 929","206 206","242 758","267 146","334 668","309 316","315 746","458 652","549 469","606 067","465 004","408 886","348 259","388 303","613 241"
"Burkina Faso","11 791 638","10 600 340","5 877 426","10 278 970","10 557 260","9 779 411","7 015 446","5 428 655","3 769 051","3 858 046","428 113","804 539","182 527","36 514","44 246","44 265","21 335","18 256","","","",""
